# Written by tools/mid_to_song.py. One strike per line: tick volume midi.
# Source: currentbest.mid
# 2590 strikes over 4047 ticks, at most 6 a tick.
length 4047
378 0.86 74
380 0.75 57
381 0.79 53
383 0.74 50
385 0.86 50
385 0.86 62
387 0.86 53
389 0.75 57
389 0.69 76
390 0.79 50
390 0.76 74
391 0.74 62
393 0.86 62
395 0.80 58
397 0.74 55
398 0.82 50
399 0.78 62
401 0.81 38
401 0.89 45
401 0.89 46
401 0.86 58
403 0.74 60
405 0.75 61
407 0.78 58
409 0.84 50
410 0.82 61
413 0.74 67
414 0.82 61
416 0.84 38
418 0.84 45
420 0.82 74
421 0.75 65
422 0.82 65
424 0.82 50
428 0.82 65
428 0.84 69
428 0.87 74
432 0.78 50
432 0.71 62
436 0.76 62
436 0.80 65
436 0.74 69
436 0.74 70
436 0.84 74
440 0.86 38
442 0.80 45
444 0.80 62
444 0.81 64
444 0.74 67
444 0.80 70
444 0.87 74
448 0.79 50
452 0.82 55
452 0.82 64
452 0.86 67
452 0.84 70
456 0.80 50
459 0.75 55
459 0.82 64
459 0.82 67
459 0.80 70
459 0.75 73
463 0.86 38
465 0.80 45
467 0.82 62
467 0.80 65
467 0.78 69
467 0.84 74
471 0.80 50
475 0.80 62
475 0.84 65
475 0.86 69
475 0.84 74
479 0.82 50
479 0.82 62
483 0.75 62
483 0.78 65
483 0.79 70
483 0.84 74
487 0.86 52
487 0.89 64
487 0.84 67
487 0.86 70
487 0.84 74
487 0.86 76
495 0.72 67
495 0.81 72
495 0.91 76
499 0.74 64
502 0.86 45
502 0.86 57
502 0.84 69
502 0.87 73
502 0.86 77
511 0.86 38
511 0.89 50
511 0.89 74
511 0.84 77
511 0.91 81
522 0.61 74
522 0.62 77
522 0.69 81
523 0.53 62
526 0.59 62
526 0.57 74
530 0.75 82
534 0.53 62
534 0.59 70
534 0.66 74
534 0.70 79
538 0.62 50
542 0.57 58
545 0.54 74
545 0.62 79
549 0.57 64
549 0.54 76
553 0.69 81
557 0.59 69
557 0.61 74
557 0.64 77
561 0.64 50
565 0.53 57
569 0.63 74
569 0.64 77
573 0.62 62
573 0.59 74
576 0.70 79
580 0.72 70
580 0.70 74
580 0.72 76
584 0.66 50
588 0.74 58
592 0.77 73
592 0.80 76
596 0.77 73
596 0.79 77
600 0.87 79
604 0.72 50
604 0.84 69
604 0.84 77
604 0.91 81
608 0.66 62
612 0.64 57
616 0.74 50
616 0.76 62
616 0.86 69
616 0.83 74
616 0.84 77
616 0.91 81
620 0.66 57
623 0.82 58
623 0.77 79
623 0.86 82
627 0.76 50
627 0.77 62
627 0.86 76
628 0.84 67
628 0.81 70
628 0.88 79
631 0.71 62
635 0.78 58
639 0.76 62
639 0.66 67
639 0.79 70
639 0.74 74
639 0.88 76
639 0.86 79
643 0.76 50
647 0.76 58
647 0.86 81
651 0.76 50
651 0.86 69
651 0.84 74
651 0.91 77
655 0.63 62
659 0.74 57
662 0.75 62
662 0.84 69
662 0.84 74
662 0.89 77
666 0.79 50
670 0.74 58
670 0.84 79
674 0.76 50
674 0.79 62
674 0.84 70
674 0.84 74
674 0.82 76
678 0.71 62
682 0.80 58
686 0.70 62
686 0.82 73
686 0.82 76
690 0.75 50
690 0.89 74
693 0.72 58
693 0.81 76
694 0.72 70
697 0.86 69
697 0.91 77
701 0.75 62
703 0.74 57
705 0.82 38
705 0.84 50
709 0.89 69
709 0.89 74
709 0.89 77
709 0.90 81
713 0.75 62
715 0.67 57
717 0.79 57
717 0.84 79
721 0.91 70
721 0.89 75
721 0.88 82
723 0.77 67
725 0.78 63
727 0.80 58
729 0.82 31
729 0.91 43
733 0.91 70
733 0.90 75
733 0.95 82
737 0.71 62
737 0.76 63
739 0.78 58
740 0.90 86
741 0.84 74
745 0.95 72
745 0.91 75
745 0.89 84
747 0.78 67
748 0.63 58
748 0.74 63
751 0.77 60
752 0.82 33
752 0.89 45
756 0.91 72
756 0.91 75
756 0.88 84
757 0.59 67
760 0.74 67
761 0.68 60
762 0.66 63
764 0.84 75
764 0.91 87
768 0.91 74
768 0.87 78
768 0.91 86
772 0.80 66
774 0.75 62
775 0.80 38
775 0.91 50
779 0.91 74
779 0.89 78
779 0.86 81
779 0.89 86
783 0.82 66
783 0.91 76
783 0.89 79
783 0.89 88
787 0.82 62
787 0.76 66
787 0.90 78
787 0.84 81
787 0.74 88
787 0.89 90
791 0.88 55
791 0.95 82
791 0.89 86
795 0.89 79
795 0.84 91
797 0.81 78
799 0.77 62
799 0.77 67
799 0.91 70
799 0.86 79
799 0.84 82
803 0.95 74
803 0.91 86
807 0.77 62
807 0.75 67
807 0.94 70
807 0.86 82
811 0.71 67
811 0.76 79
815 0.84 36
815 0.94 48
815 0.92 76
815 0.88 82
815 0.89 88
823 0.76 55
823 0.80 60
823 0.84 64
823 0.80 67
827 0.91 72
827 0.89 84
830 0.94 74
830 0.90 86
831 0.77 64
831 0.79 67
831 0.84 76
834 0.89 76
834 0.84 88
838 0.84 53
838 0.75 60
838 0.90 65
838 0.88 79
838 0.91 84
842 0.80 77
844 0.80 76
846 0.84 69
846 0.86 72
846 0.84 77
850 0.79 72
850 0.84 84
854 0.79 60
854 0.89 69
854 0.84 81
858 0.83 77
862 0.80 34
862 0.91 46
862 0.89 74
869 0.84 58
869 0.76 62
870 0.77 65
873 0.89 70
873 0.89 82
877 0.71 62
877 0.89 72
877 0.89 84
881 0.89 74
881 0.86 86
885 0.79 40
885 0.91 52
885 0.91 64
885 0.91 76
889 0.69 67
891 0.80 67
893 0.75 55
893 0.86 62
897 0.82 67
899 0.82 69
901 0.75 62
901 0.80 67
901 0.84 70
903 0.80 67
905 0.82 69
907 0.84 70
908 0.86 67
908 0.84 74
909 0.71 62
910 0.75 67
912 0.84 70
914 0.78 74
916 0.63 62
916 0.87 67
916 0.84 76
918 0.84 70
920 0.82 74
922 0.80 76
924 0.86 79
924 0.82 82
926 0.80 76
928 0.80 79
929 0.84 82
931 0.89 79
931 0.89 86
935 0.80 82
937 0.80 86
939 0.86 79
939 0.84 88
941 0.82 82
943 0.80 86
945 0.79 88
947 0.80 86
947 0.74 91
947 0.80 94
947 0.74 95
949 0.78 88
951 0.78 91
953 0.78 91
953 0.84 94
953 0.74 95
955 0.76 88
955 0.73 91
955 0.94 98
969 0.77 40
969 0.84 52
969 0.82 64
969 0.80 80
969 0.86 88
971 0.82 40
971 0.86 52
971 0.86 64
971 0.84 76
971 0.84 80
971 0.84 88
977 0.67 82
977 0.82 86
978 0.61 80
979 0.82 33
979 0.91 45
979 0.88 81
979 0.89 85
987 0.76 58
989 0.67 55
991 0.74 57
993 0.80 58
995 0.75 61
997 0.74 55
999 0.80 58
1001 0.82 61
1003 0.78 64
1005 0.80 58
1007 0.82 61
1009 0.75 64
1010 0.76 67
1012 0.80 61
1014 0.75 64
1016 0.75 67
1018 0.80 70
1020 0.78 64
1022 0.78 67
1024 0.80 70
1026 0.80 73
1028 0.77 67
1030 0.78 70
1031 0.77 73
1033 0.80 76
1035 0.81 70
1037 0.80 73
1039 0.74 76
1041 0.82 79
1043 0.80 73
1045 0.76 76
1047 0.80 79
1049 0.84 82
1051 0.78 76
1053 0.75 79
1055 0.80 82
1057 0.84 85
1059 0.78 79
1061 0.82 82
1063 0.75 85
1065 0.89 88
1067 0.82 82
1068 0.75 85
1070 0.78 88
1072 0.82 38
1072 0.87 45
1072 0.89 50
1072 0.75 86
1074 0.81 81
1076 0.80 74
1078 0.80 77
1080 0.89 86
1082 0.75 81
1084 0.74 65
1084 0.77 69
1084 0.86 74
1086 0.78 77
1088 0.76 50
1088 0.84 86
1090 0.76 53
1090 0.80 81
1092 0.74 69
1092 0.75 74
1094 0.71 77
1096 0.82 38
1096 0.80 45
1096 0.89 50
1096 0.91 86
1098 0.75 82
1100 0.84 74
1101 0.74 79
1104 0.76 50
1104 0.89 86
1106 0.70 55
1106 0.82 82
1107 0.86 74
1108 0.80 70
1109 0.75 79
1111 0.89 86
1112 0.75 50
1113 0.74 82
1115 0.70 70
1115 0.80 74
1117 0.68 50
1117 0.75 79
1119 0.83 38
1119 0.91 86
1121 0.80 45
1121 0.75 81
1123 0.84 74
1125 0.78 77
1127 0.76 50
1127 0.89 86
1129 0.74 53
1129 0.74 81
1131 0.74 69
1131 0.89 74
1133 0.81 77
1135 0.78 50
1135 0.86 86
1136 0.80 81
1137 0.76 53
1139 0.78 69
1139 0.86 74
1141 0.80 77
1143 0.84 38
1143 0.90 86
1145 0.84 45
1145 0.74 82
1147 0.89 74
1148 0.71 79
1150 0.80 50
1150 0.86 86
1152 0.76 50
1152 0.78 82
1154 0.82 70
1154 0.89 74
1156 0.75 79
1158 0.86 86
1159 0.71 50
1160 0.75 79
1161 0.57 55
1162 0.61 64
1162 0.75 70
1162 0.82 74
1162 0.75 76
1164 0.77 50
1166 0.84 38
1166 0.89 50
1168 0.84 45
1170 0.90 69
1170 0.94 81
1174 0.75 50
1176 0.70 53
1178 0.91 69
1178 0.89 81
1179 0.69 74
1182 0.75 50
1184 0.72 53
1186 0.75 50
1186 0.95 70
1186 0.95 82
1190 0.82 38
1190 0.84 50
1192 0.84 45
1193 0.89 67
1193 0.89 74
1194 0.89 79
1197 0.80 50
1199 0.70 53
1201 0.89 67
1202 0.89 74
1202 0.84 79
1205 0.74 50
1207 0.67 53
1209 0.91 69
1209 0.80 73
1209 0.91 81
1211 0.75 57
1213 0.81 38
1213 0.80 50
1215 0.80 45
1217 0.84 65
1217 0.86 74
1217 0.89 77
1219 0.75 57
1221 0.75 50
1223 0.71 53
1225 0.89 65
1225 0.89 74
1225 0.88 77
1227 0.75 57
1229 0.78 50
1230 0.70 53
1232 0.89 67
1232 0.89 79
1234 0.74 58
1236 0.86 50
1237 0.80 38
1239 0.74 45
1241 0.91 64
1241 0.91 74
1241 0.84 76
1243 0.71 58
1244 0.78 50
1246 0.70 53
1248 0.89 74
1250 0.75 57
1252 0.86 64
1252 0.76 69
1252 0.88 76
1254 0.68 53
1256 0.71 52
1256 0.84 65
1256 0.88 77
1258 0.70 57
1260 0.76 50
1260 0.89 62
1260 0.88 74
1263 0.76 38
1263 0.75 50
1264 0.66 45
1271 0.71 38
1271 0.71 45
1271 0.76 62
1273 0.74 65
1275 0.76 69
1277 0.74 74
1279 0.74 38
1279 0.71 45
1279 0.75 77
1280 0.75 81
1283 0.87 86
1287 0.70 38
1287 0.67 45
1289 0.76 82
1291 0.75 81
1292 0.71 79
1294 0.71 38
1294 0.63 45
1294 0.75 78
1296 0.76 79
1298 0.83 81
1302 0.79 38
1302 0.76 45
1302 0.84 82
1306 0.80 81
1308 0.74 74
1310 0.71 38
1310 0.70 45
1310 0.71 50
1312 0.74 74
1314 0.76 79
1316 0.74 77
1318 0.67 38
1318 0.67 45
1318 0.74 76
1320 0.70 74
1322 0.76 72
1324 0.77 70
1325 0.59 45
1326 0.67 38
1326 0.75 69
1327 0.75 67
1330 0.83 76
1334 0.68 38
1334 0.67 45
1334 0.76 67
1336 0.76 70
1337 0.80 73
1341 0.68 38
1341 0.70 45
1341 0.77 64
1343 0.75 67
1345 0.82 70
1349 0.68 38
1349 0.67 45
1349 0.72 50
1349 0.80 69
1353 0.80 65
1358 0.75 38
1358 0.71 45
1358 0.75 50
1365 0.66 38
1365 0.75 45
1365 0.76 62
1369 0.70 62
1371 0.70 65
1373 0.70 38
1373 0.68 45
1373 0.67 50
1373 0.74 69
1375 0.61 74
1377 0.79 74
1381 0.70 38
1381 0.75 45
1383 0.80 70
1385 0.75 69
1387 0.70 67
1389 0.74 26
1389 0.74 38
1389 0.72 45
1389 0.70 66
1391 0.71 67
1393 0.78 69
1397 0.71 38
1397 0.71 45
1397 0.82 70
1401 0.76 69
1402 0.69 62
1402 0.70 74
1404 0.74 38
1404 0.78 45
1406 0.69 62
1406 0.66 74
1408 0.74 67
1410 0.70 65
1412 0.71 38
1412 0.74 45
1412 0.74 64
1414 0.67 62
1414 0.68 74
1416 0.74 60
1418 0.74 58
1420 0.69 38
1420 0.74 45
1420 0.72 57
1422 0.66 55
1424 0.88 52
1424 0.81 57
1424 0.84 64
1428 0.71 33
1428 0.76 45
1431 0.80 73
1432 0.84 61
1435 0.70 52
1436 0.68 33
1436 0.71 45
1438 0.66 55
1439 0.78 58
1443 0.74 45
1443 0.75 57
1443 0.67 69
1447 0.74 38
1447 0.76 50
1447 0.77 53
1447 0.71 65
1451 0.78 62
1451 0.78 74
1455 0.66 58
1459 0.78 52
1459 0.74 55
1463 0.74 60
1463 0.69 72
1467 0.72 53
1467 0.74 57
1467 0.68 60
1471 0.67 62
1471 0.70 74
1474 0.82 55
1474 0.80 58
1475 0.76 43
1478 0.72 64
1478 0.72 76
1482 0.78 45
1482 0.82 57
1482 0.82 60
1482 0.77 72
1486 0.77 65
1486 0.77 77
1490 0.77 46
1490 0.77 58
1490 0.78 62
1490 0.76 74
1494 0.82 67
1498 0.75 48
1498 0.80 60
1498 0.80 64
1498 0.80 72
1498 0.75 76
1502 0.84 69
1506 0.78 50
1506 0.86 62
1506 0.82 65
1509 0.86 70
1513 0.76 46
1513 0.71 52
1513 0.82 58
1513 0.86 67
1517 0.81 33
1517 0.91 45
1517 0.91 57
1517 0.95 69
1526 0.63 50
1526 0.63 62
1529 0.57 52
1529 0.66 64
1533 0.62 53
1533 0.66 65
1537 0.57 55
1537 0.62 67
1540 0.57 57
1540 0.65 69
1544 0.57 58
1544 0.63 70
1548 0.63 58
1548 0.70 70
1552 0.69 58
1552 0.74 70
1556 0.71 58
1556 0.74 70
1560 0.74 58
1560 0.80 70
1563 0.76 57
1563 0.82 69
1564 0.69 45
1565 0.82 61
1565 0.77 73
1567 0.61 45
1567 0.68 64
1569 0.78 61
1571 0.70 45
1571 0.72 69
1571 0.80 81
1573 0.72 73
1575 0.67 69
1577 0.66 73
1579 0.64 45
1579 0.78 81
1581 0.63 73
1583 0.67 69
1584 0.70 73
1587 0.80 62
1587 0.75 74
1589 0.74 65
1591 0.72 53
1591 0.74 57
1591 0.80 62
1591 0.74 69
1592 0.75 74
1595 0.74 81
1597 0.75 86
1599 0.72 57
1599 0.77 62
1599 0.66 65
1599 0.74 89
1599 0.71 90
1600 0.75 86
1602 0.68 81
1604 0.69 74
1606 0.72 57
1606 0.73 62
1606 0.77 70
1608 0.69 65
1610 0.70 62
1610 0.72 74
1611 0.72 64
1614 0.70 55
1614 0.72 57
1614 0.75 62
1614 0.74 67
1614 0.72 74
1615 0.74 74
1618 0.76 76
1619 0.72 79
1622 0.70 55
1622 0.75 58
1622 0.70 62
1622 0.82 86
1623 0.68 79
1625 0.67 76
1627 0.67 74
1629 0.74 57
1629 0.75 69
1631 0.72 64
1633 0.75 62
1633 0.70 74
1635 0.70 65
1637 0.72 53
1637 0.80 57
1637 0.77 62
1637 0.75 69
1639 0.72 74
1641 0.74 77
1643 0.69 81
1645 0.70 53
1645 0.76 57
1645 0.82 62
1645 0.80 86
1647 0.67 81
1649 0.67 77
1650 0.70 74
1652 0.75 57
1652 0.75 69
1653 0.74 70
1654 0.71 65
1656 0.78 64
1656 0.75 76
1658 0.72 67
1660 0.72 55
1660 0.78 58
1660 0.80 70
1662 0.75 74
1664 0.78 76
1666 0.68 79
1668 0.76 58
1668 0.82 86
1670 0.70 79
1672 0.77 57
1672 0.77 76
1674 0.75 74
1676 0.78 58
1676 0.80 70
1677 0.78 64
1680 0.82 38
1680 0.91 50
1684 0.84 62
1684 0.82 69
1684 0.83 74
1688 0.84 50
1690 0.71 53
1692 0.86 74
1693 0.74 53
1696 0.82 50
1697 0.71 53
1699 0.80 58
1699 0.82 62
1699 0.91 70
1699 0.81 74
1702 0.80 50
1703 0.89 38
1703 0.91 50
1707 0.89 58
1707 0.80 62
1707 0.84 67
1707 0.81 74
1711 0.84 50
1715 0.82 58
1715 0.89 67
1715 0.76 74
1716 0.80 62
1719 0.84 50
1721 0.66 55
1723 0.84 61
1723 0.91 69
1723 0.82 73
1727 0.84 38
1727 0.91 50
1731 0.84 58
1731 0.84 62
1731 0.81 70
1731 0.84 74
1733 0.75 53
1735 0.84 50
1737 0.74 53
1739 0.84 58
1739 0.80 62
1739 0.83 74
1741 0.75 53
1742 0.80 50
1744 0.68 53
1746 0.76 58
1746 0.84 67
1746 0.75 70
1748 0.75 50
1750 0.66 49
1750 0.84 64
1752 0.71 58
1754 0.67 55
1756 0.77 52
1758 0.69 46
1758 0.62 58
1760 0.68 55
1762 0.60 40
1762 0.70 52
1764 0.64 38
1764 0.66 50
1764 0.66 65
1774 0.71 81
1778 0.57 62
1782 0.59 50
1785 0.52 53
1786 0.57 65
1786 0.68 81
1789 0.61 62
1793 0.74 82
1794 0.53 55
1798 0.70 79
1801 0.60 58
1805 0.54 55
1809 0.47 64
1809 0.67 79
1813 0.52 58
1817 0.52 55
1817 0.64 81
1821 0.64 77
1825 0.53 62
1825 0.53 69
1829 0.57 65
1833 0.67 77
1837 0.57 62
1837 0.59 74
1840 0.45 55
1840 0.47 58
1840 0.64 79
1845 0.61 76
1849 0.55 58
1852 0.61 67
1856 0.75 73
1856 0.70 76
1860 0.78 74
1860 0.76 77
1864 0.77 76
1864 0.72 79
1868 0.68 81
1872 0.51 62
1872 0.51 69
1876 0.59 57
1880 0.64 81
1883 0.47 38
1883 0.49 50
1887 0.62 82
1891 0.63 79
1895 0.52 58
1899 0.64 55
1903 0.66 79
1907 0.54 38
1907 0.53 50
1911 0.61 81
1915 0.61 77
1919 0.48 62
1919 0.51 69
1923 0.53 57
1926 0.61 77
1930 0.49 50
1931 0.47 38
1934 0.61 79
1938 0.57 76
1942 0.59 67
1946 0.59 70
1950 0.62 73
1950 0.59 76
1954 0.61 38
1954 0.61 50
1954 0.66 74
1954 0.64 77
1957 0.70 76
1957 0.63 79
1962 0.69 38
1962 0.71 50
1962 0.74 77
1962 0.82 81
1964 0.63 62
1964 0.66 74
1965 0.61 65
1969 0.76 69
1973 0.67 62
1973 0.67 65
1973 0.86 77
1974 0.72 74
1977 0.76 69
1981 0.84 79
1985 0.66 43
1985 0.74 63
1985 0.74 75
1985 0.74 79
1985 0.84 82
1987 0.70 51
1987 0.71 63
1989 0.66 67
1993 0.71 58
1993 0.74 70
1997 0.68 58
1997 0.76 63
1997 0.91 70
1997 0.76 75
1997 0.71 79
1997 0.86 82
1998 0.37 80
2005 0.83 74
2005 0.84 86
2009 0.67 33
2009 0.76 72
2009 0.82 84
2011 0.67 60
2011 0.75 72
2012 0.51 51
2013 0.74 63
2016 0.72 55
2016 0.80 67
2020 0.77 60
2020 0.91 72
2020 0.86 84
2021 0.82 63
2021 0.81 69
2021 0.80 75
2028 0.86 75
2028 0.89 87
2032 0.76 38
2032 0.74 50
2032 0.91 74
2032 0.81 78
2032 0.86 86
2036 0.75 54
2036 0.77 66
2040 0.82 57
2040 0.74 62
2043 0.79 54
2043 0.81 66
2043 0.91 74
2043 0.86 86
2047 0.80 62
2047 0.91 76
2047 0.89 88
2051 0.91 78
2051 0.89 90
2055 0.91 43
2055 0.99 81
2055 0.91 93
2056 0.52 91
2060 0.81 79
2060 0.80 91
2061 0.89 78
2061 0.81 90
2063 0.71 55
2063 0.76 58
2063 0.73 62
2063 0.91 79
2063 0.91 91
2067 0.75 55
2067 0.71 62
2067 0.84 67
2067 0.91 74
2067 0.89 86
2071 0.79 58
2071 0.74 62
2071 0.90 70
2071 0.88 82
2075 0.78 55
2075 0.84 67
2079 0.80 36
2079 0.84 48
2079 0.90 76
2079 0.72 79
2079 0.86 82
2079 0.86 88
2081 0.75 36
2081 0.79 48
2082 0.83 55
2087 0.71 48
2087 0.74 60
2090 0.75 60
2090 0.72 64
2090 0.90 72
2090 0.86 84
2094 0.91 74
2095 0.77 55
2095 0.84 86
2098 0.90 76
2098 0.88 88
2102 0.84 41
2102 0.90 79
2102 0.86 81
2102 0.86 84
2102 0.90 91
2106 0.78 77
2108 0.84 76
2108 0.81 88
2110 0.72 57
2110 0.74 60
2110 0.89 77
2110 0.89 89
2114 0.76 53
2114 0.76 60
2114 0.90 72
2114 0.88 84
2118 0.82 57
2118 0.89 69
2122 0.76 65
2122 0.83 77
2125 0.72 34
2125 0.84 74
2125 0.84 77
2125 0.81 81
2125 0.84 86
2128 0.78 46
2130 0.83 58
2133 0.74 53
2133 0.80 65
2134 0.81 77
2137 0.82 58
2137 0.91 70
2137 0.91 82
2141 0.68 60
2141 0.72 62
2141 0.71 65
2141 0.89 72
2141 0.88 84
2145 0.90 74
2145 0.84 86
2149 0.76 40
2149 0.89 52
2149 0.84 76
2149 0.79 79
2149 0.89 82
2149 0.89 86
2155 0.74 58
2157 0.71 58
2157 0.80 62
2161 0.78 67
2163 0.76 69
2164 0.75 70
2165 0.79 62
2166 0.74 67
2168 0.77 69
2170 0.75 70
2172 0.80 62
2172 0.91 74
2174 0.76 67
2176 0.74 70
2178 0.74 74
2180 0.80 67
2180 0.84 76
2182 0.76 70
2184 0.80 74
2186 0.76 76
2188 0.80 79
2188 0.86 82
2190 0.75 76
2191 0.82 79
2193 0.78 82
2195 0.78 70
2195 0.86 82
2195 0.86 86
2197 0.80 79
2199 0.80 82
2201 0.74 86
2203 0.84 79
2203 0.84 88
2205 0.80 82
2207 0.80 86
2209 0.78 88
2211 0.86 86
2211 0.84 94
2213 0.80 88
2215 0.84 91
2217 0.84 94
2219 0.89 88
2219 0.81 95
2219 0.91 98
2233 0.84 52
2233 0.76 79
2233 0.91 82
2233 0.91 86
2235 0.80 40
2235 0.89 52
2235 0.76 80
2235 0.84 82
2235 0.89 86
2241 0.67 80
2241 0.77 82
2241 0.80 86
2244 0.79 33
2244 0.89 45
2244 0.86 81
2244 0.89 85
2249 0.80 58
2251 0.73 58
2253 0.69 64
2255 0.61 55
2256 0.71 58
2259 0.69 61
2261 0.68 55
2263 0.64 58
2264 0.64 61
2266 0.68 64
2266 0.69 76
2268 0.64 58
2270 0.63 61
2272 0.68 64
2272 0.67 76
2274 0.74 67
2276 0.65 61
2278 0.67 64
2280 0.61 67
2282 0.72 70
2284 0.64 64
2286 0.61 67
2287 0.63 70
2290 0.57 45
2290 0.66 73
2292 0.57 82
2294 0.55 45
2294 0.66 73
2296 0.58 82
2298 0.53 45
2298 0.72 73
2300 0.59 82
2301 0.74 73
2302 0.55 45
2304 0.61 82
2305 0.75 73
2306 0.57 45
2308 0.64 82
2309 0.55 45
2309 0.74 73
2310 0.51 67
2311 0.68 82
2313 0.57 45
2313 0.68 69
2313 0.75 73
2313 0.74 76
2315 0.67 82
2317 0.57 45
2317 0.55 57
2317 0.64 69
2317 0.70 73
2317 0.58 76
2319 0.61 82
2321 0.59 45
2321 0.57 57
2321 0.67 69
2321 0.72 73
2321 0.67 76
2323 0.64 82
2324 0.70 73
2325 0.55 45
2325 0.57 57
2325 0.61 69
2325 0.64 76
2327 0.64 82
2328 0.75 73
2328 0.67 76
2329 0.55 45
2329 0.57 57
2329 0.64 69
2330 0.68 82
2332 0.53 45
2332 0.67 69
2332 0.75 73
2332 0.67 76
2334 0.70 82
2336 0.71 50
2336 0.82 62
2336 0.76 69
2336 0.91 74
2340 0.66 69
2342 0.64 65
2344 0.74 38
2344 0.72 45
2344 0.80 50
2344 0.87 57
2344 0.80 62
2348 0.71 62
2352 0.80 65
2352 0.81 77
2354 0.82 69
2356 0.80 77
2358 0.78 81
2360 0.86 74
2361 0.72 70
2363 0.66 67
2365 0.64 62
2367 0.72 38
2367 0.79 45
2367 0.89 55
2368 0.80 64
2371 0.74 50
2371 0.78 62
2373 0.74 64
2375 0.84 67
2375 0.80 79
2377 0.82 70
2379 0.79 76
2381 0.71 79
2383 0.86 74
2385 0.74 69
2386 0.71 65
2388 0.74 62
2391 0.79 38
2391 0.76 45
2391 0.81 50
2391 0.89 57
2394 0.74 62
2399 0.80 65
2401 0.76 69
2403 0.77 77
2404 0.74 81
2406 0.86 74
2408 0.74 70
2410 0.66 67
2412 0.71 62
2414 0.74 38
2414 0.74 50
2414 0.91 57
2416 0.71 55
2418 0.76 61
2420 0.77 64
2422 0.86 67
2424 0.78 73
2426 0.63 79
2428 0.74 85
2430 0.89 62
2430 0.89 74
2432 0.75 77
2434 0.76 86
2436 0.75 77
2438 0.89 70
2440 0.74 77
2442 0.71 86
2444 0.72 77
2446 0.84 68
2448 0.72 77
2449 0.72 86
